1 minute time series of wind speed from a met tower
timestamp	Un1	Uw1	Uz1
5/19/12 12:19 PM	-10.79	-1.439	0.146
5/19/12 12:19 PM	-10.69	-1.551	0.27
5/19/12 12:19 PM	-10.68	-1.135	0.158
5/19/12 12:19 PM	-11	-1.393	0.177
5/19/12 12:19 PM	-11.12	-1.336	0.046
5/19/12 12:19 PM	-11.05	-1.262	0.057
5/19/12 12:19 PM	-10.97	-1.352	0.098
5/19/12 12:19 PM	-10.88	-1.486	0.195
5/19/12 12:19 PM	-10.86	-1.367	0.216
5/19/12 12:19 PM	-10.68	-1.596	0.236
5/19/12 12:19 PM	-11.04	-1.456	0.087
5/19/12 12:19 PM	-11.06	-1.472	0.146
5/19/12 12:19 PM	-11.1	-1.218	0.141
5/19/12 12:19 PM	-11.19	-1.235	0.199
5/19/12 12:19 PM	-11.35	-1.149	0.271
5/19/12 12:19 PM	-11.1	-1.305	0.319
5/19/12 12:19 PM	-11.37	-1.41	0.184
5/19/12 12:19 PM	-11.04	-1.568	0.085
5/19/12 12:19 PM	-10.92	-1.308	0.113
5/19/12 12:19 PM	-11.13	-1.023	0.311
5/19/12 12:19 PM	-11.07	-1.136	0.249
5/19/12 12:19 PM	-11.2	-1.117	0.216
5/19/12 12:19 PM	-11.16	-1.038	0.28
5/19/12 12:19 PM	-11.11	-1.051	0.247
5/19/12 12:19 PM	-10.6	-1.303	0.192
5/19/12 12:19 PM	-10.72	-0.838	0.273
5/19/12 12:19 PM	-10.72	-1.055	0.186
5/19/12 12:19 PM	-10.87	-1.306	0.082
5/19/12 12:19 PM	-11.13	-1.443	0.038
5/19/12 12:19 PM	-11.01	-1.421	0.005
5/19/12 12:19 PM	-11.28	-1.427	-0.066
5/19/12 12:19 PM	-10.76	-1.426	-0.199
5/19/12 12:19 PM	-10.76	-1.629	-0.211
5/19/12 12:19 PM	-11.01	-1.797	-0.277
5/19/12 12:19 PM	-11	-1.549	-0.073
5/19/12 12:19 PM	-10.96	-1.454	0.041
5/19/12 12:19 PM	-11.05	-1.628	0.066
5/19/12 12:19 PM	-11.26	-1.289	-0.097
5/19/12 12:19 PM	-11.15	-1.668	-0.066
5/19/12 12:19 PM	-10.93	-1.885	-0.311
5/19/12 12:19 PM	-11	-1.898	-0.483
5/19/12 12:19 PM	-11.03	-1.904	-0.366
5/19/12 12:19 PM	-10.89	-1.578	-0.333
5/19/12 12:19 PM	-10.86	-1.607	-0.1
5/19/12 12:19 PM	-10.88	-1.644	-0.05
5/19/12 12:19 PM	-11.11	-1.667	-0.26
5/19/12 12:19 PM	-10.88	-1.879	-0.233
5/19/12 12:19 PM	-10.85	-1.958	-0.622
5/19/12 12:19 PM	-10.73	-1.851	-0.583
5/19/12 12:19 PM	-10.79	-1.825	-0.523
5/19/12 12:19 PM	-10.52	-1.762	-0.681
5/19/12 12:19 PM	-11.05	-1.903	-0.655
5/19/12 12:19 PM	-11.15	-2.058	-0.593
5/19/12 12:19 PM	-10.86	-1.806	-0.444
5/19/12 12:19 PM	-10.82	-1.788	-0.633
5/19/12 12:19 PM	-10.79	-2.086	-0.478
5/19/12 12:19 PM	-11.01	-2.016	-0.32
